Section,Topic,Location,Description,Key Commands / Notes
i18n,Adding a language,lib/i18n/src/index.ts,"Add to LANGUAGES (code, englishName, nativeName, rtl), create generated/<code>.json placeholder, run generate:locales <code>.",
i18n,Adding strings,lib/i18n/src/en/,"Add camelCase keys to the page's namespace JSON, use t() in the page, then regenerate locales or the other 11 languages silently fall back to English.",
Frontend,Conventions,artifacts/engram/src,"wouter routing in App.tsx; layout.tsx owns nav; TanStack Query + generated hooks for data; shadcn components; every interactive element keeps a data-testid.","Dark terminal aesthetic; mono/display font system."
Frontend,SSE chat pattern,artifacts/engram/src/pages/chat.tsx,"Streaming chat uses raw fetch + ReadableStream, NOT generated hooks.","See engram-chat-sse memory doc."
Frontend,Responsive dialogs,,"Mobile/desktop variants sharing a Radix Dialog/Sheet must branch via a JS breakpoint hook, not CSS hidden (portals ignore CSS scoping).",
Frontend,Known TS noise,artifacts/engram,"Pre-existing shadcn TS errors from duplicate @types/react versions — filter these out when typechecking; they are not feature-caused.","pnpm exec tsc --noEmit | grep -v @types/react"
Mobile,Offline mode,artifacts/engram-mobile/lib/offline,"On-device llama.rn model; local handler seam mirrors server routes; safety prompts single-sourced from engram-core; mode-scoped conversation IDs; Qwen3 think-block hold-back.","Offline sync-back to account is a pending task."
Mobile,APK build,artifacts/engram-mobile/android,"Local builds: .android-sdk, gradle in <=260s foreground windows (./gradlew :app:assembleRelease -x lint --no-daemon). llama.rn ships no .so in npm — its postinstall downloads jniLibs and pnpm blocks postinstalls: re-run install/download-native-artifacts.js after any node_modules recreation, verify with unzip -l | grep librnllama. reactNativeArchitectures=arm64-v8a,x86_64 only.","Output copied to downloads/ENGRAM-android.apk, served at /api/download/android.apk."
Mobile,Expo version drift,artifacts/engram-mobile/package.json,"All expo-* packages must match the installed Expo SDK (npx expo install --check). A mismatched module (e.g. expo-file-system from a newer SDK) crashes the APK at launch with NoSuchMethodError.","Crash-screen diagnostic: CrashActivity shows the stack trace on device."
Desktop,Auto-update,,"electron-builder publishes releases; updater has non-obvious constraints (draft releases, signature checks). All three installers must be present before a release goes public (proposed CI task).",
Desktop,Offline LLM,,"Bundled llama.cpp server + model staged at build time; lifecycle managed by the app; watch workspace quota.",
Desktop,Key storage,,"Cloud LLM API key is never persisted in plaintext on desktop.",
Database,Migrations,lib/db,"Dual path: drizzle-kit push for dev AND generate for committed migrations (watch the generate out-path bug). Production schema sync is a separate step.",
Database,Seeding reference data,scripts/,"No auto-seed: lookup/reference data must be seeded explicitly per environment.",
Testing,API server tests,artifacts/api-server,"Vitest unit tests; route tests use a hand-rolled db/schema mock that must be kept in sync when the engine reads a new table. A shared in-memory harness is a proposed task.","Known pre-existing failures: 2 tests in artifact-worker.db.test.ts."
Testing,Engine tests,,"Engine unit test fakes the DB; adding a table the engine reads requires extending the fake.",
Testing,E2E,,"Playwright-based testing subagent available in the Replit workspace for UI verification.",
Operations,Workflows,.replit / artifact.toml,"Each artifact has a managed workflow. Restart after code/package/config changes. Artifact service config changes go through the artifact tooling, not manual .replit edits.",
Operations,Locale generation,scripts/src/generate-locales.ts,"LLM-based, resumable per namespace (reuses translations whose key sets still match). Run per-language batches to fit command timeout windows.","pnpm --filter @workspace/scripts run generate:locales es fr"
Operations,Downloads,downloads/,"Built installers/APKs are staged in downloads/ and served via /api/download/* with Range/206 support.",
Operations,Deployment,,"Production is published separately from the dev workspace; the currently published build predates recent features (Full Rezz interactivity, Sasha, i18n) until re-published.",
Gotchas,pnpm postinstalls,,"pnpm blocks package postinstall scripts by default — native-artifact downloads (llama.rn) must be run manually after installs.",
Gotchas,PDF generation,,"pdfkit: text placed below the bottom margin with width set appends blank pages; generate/verify PDFs without Chromium.",
Gotchas,Prompt changes,lib/engram-core/src/prompts.ts,"Prompt builders are shared by server, mobile offline, and desktop — a change affects all three; keep options optional and backward-compatible.",
Gotchas,New lib checklist,lib/,"1) package.json with workspace name 2) composite tsconfig 3) root tsconfig references entry 4) pnpm install 5) pnpm run typecheck:libs.",
